[2026-04-04T16:53:14.632Z] GET https://github.com/zarazhangrui/frontend-slides → 200 (699ms, ?B)
[2026-04-04T16:53:15.358Z] GET https://github.githubassets.com/assets/61110-93cf7706e5dc8bfa.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/2887-47ac9a4b8862e6bf.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/26533-4df1172b25427069.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/66385-9fabdb6ffe6a94cf.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/93716-c0d708c7899c4298.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/60481-1a8127058c27e9af.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/46287-a173e8d4423a732c.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/2498-7a413c8209222158.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/61025-40fd5e83cbe4bc66.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/89627-fbbd31c43d83e10c.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/49029-32f138b26aa15ad8.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/99328-5e06da57c4622e21.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/behaviors-9ddaeb4e06adcb60.js → pending (?ms, ?B)
[2026-04-04T16:53:15.359Z] GET https://github.githubassets.com/assets/react-core.d14f70276c05a07b.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/4244-d5dcb589fae0ecbf.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/notifications-global-206312e9c9776c21.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/19262-313c6e4aa6bc1abc.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/13284-8b9feeae4ba8bcad.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/19930-d7474e22a5e73a83.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/codespaces-2f877186c025b44c.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/42890-dc8a427d0e01e2ea.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/70206-3ba10f6524cc3c66.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/repositories-eeaddac13075ea91.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/34140-bd56b738d77cb446.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/code-menu-34c67a8e6616ccae.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/primer-react-72d2ec7521017972.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/octicons-react-a181826f33dcd4d8.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/87376-a8280ed29a57d4c3.js → pending (?ms, ?B)
[2026-04-04T16:53:15.360Z] GET https://github.githubassets.com/assets/37869-a873e81f0fcb98e2.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/68751-fe5cb40b5547c377.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/7463-f34e26efc84a7578.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/15272-00d6ef52b0f88c77.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/32769-329cba91f224b6ee.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/46148-0e40187c0246d203.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/99849-920965235c8ccd0b.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/1364-fb34d7e0e3afce8e.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/73065-3db8391bce658e42.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/9521-91c5deeb12670dc8.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/63991-125a5c660965e63e.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/73022-ba0350cffceb8489.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/59852-ef8d9f97624f514a.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/3624-fff636468063d5b7.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/66231-1e6cc99727940110.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/36600-16cb2bc7b4c03552.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/33684-8c0b5018276812ee.js → pending (?ms, ?B)
[2026-04-04T16:53:15.361Z] GET https://github.githubassets.com/assets/18222-498ac30c45b2263a.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/96755-8619cf5f811a4353.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/4916-50f2539dc1c5e1ee.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/24787-791cfb59d6b5d03c.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/17363-9d3b6dc38025c8e2.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/1097-b805267515cb2087.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/13333-2a2decebccdb5c1f.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/5289-399a52981b09bfae.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/99008-71912f84c393e8a1.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/92141-d0d22dca59a46461.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/29621-58d7abba98d5889c.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/86923-89ea77ea52c74b25.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/49972-40a4b0a31a6433a6.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/42229-a1f7e8674f57cdd5.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/21384-c3ff75cb40bd8ccc.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/23317-cf160f1428d9be3f.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/50110-4385e3caef0c7e52.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/26497-3db8876731818fda.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/70198-f7f1df5503683a6b.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/45106-197ebc11e66a756f.js → pending (?ms, ?B)
[2026-04-04T16:53:15.362Z] GET https://github.githubassets.com/assets/43690-54c7c87921b42753.js → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/code-view-90c1afdaca2ddc79.js → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/primer-react-css.f296da2f85469022.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/92141.14f67539e616d3dd.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/70198.c01a66b33162633c.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/43690.58a5ccc272fc394d.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/code-view.35bc9ef239949c59.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/75999-af2e3ea53e208314.js → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/42656-94271233114fb826.js → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu-2037df81bb0fb115.js → pending (?ms, ?B)
[2026-04-04T16:53:15.364Z] GET https://github.githubassets.com/assets/notifications-subscriptions-menu.d14124df928c0132.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.381Z] GET https://github.githubassets.com/assets/keyboard-shortcuts-dialog.f581ff34f52b4167.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.381Z] GET https://github.githubassets.com/assets/46752-46c707717fcbe6a9.js → pending (?ms, ?B)
[2026-04-04T16:53:15.381Z] GET https://github.githubassets.com/assets/86735-f3e914a229b8e278.js → pending (?ms, ?B)
[2026-04-04T16:53:15.381Z] GET https://github.githubassets.com/assets/sessions-2f8b9c6ac9ed412d.js → pending (?ms, ?B)
[2026-04-04T16:53:15.382Z] GET https://github.githubassets.com/assets/marketing-navigation.5b4138cab2f44179.module.css → pending (?ms, ?B)
[2026-04-04T16:53:15.810Z] GET https://private-user-images.githubusercontent.com/153693696/557924257-ef57333e-f879-432a-afb9-180388982478.mp4?jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJnaXRodWIuY29tIiwiYXVkIjoicmF3LmdpdGh1YnVzZXJjb250ZW50LmNvbSIsImtleSI6ImtleTUiLCJleHAiOjE3NzUzMjE4OTUsIm5iZiI6MTc3NTMyMTU5NSwicGF0aCI6Ii8xNTM2OTM2OTYvNTU3OTI0MjU3LWVmNTczMzNlLWY4NzktNDMyYS1hZmI5LTE4MDM4ODk4MjQ3OC5tcDQ_WC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBVkNPRFlMU0E1M1BRSzRaQSUyRjIwMjYwNDA0JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDI2MDQwNFQxNjUzMTVaJlgtQW16LUV4cGlyZXM9MzAwJlgtQW16LVNpZ25hdHVyZT1mYzA0M2RlN2NmZTVmODQzYmE4ZWQ5MzFiN2Q5NTMwYTNhOWU5YzI3MTZjOWM5N2ZhNzk2YTRiNzdjOTk1Y2ZkJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCJ9.byIyquza6_pVuhxd6bdjgle2XP-yqFbrMHa9VPULRXU → 206 (305ms, ?B)
[2026-04-04T16:53:16.053Z] GET https://github.com/zarazhangrui/frontend-slides/hovercards/citation/sidebar_partial?tree_name=main → pending (?ms, ?B)
[2026-04-04T16:53:16.054Z] GET https://github.com/zarazhangrui/frontend-slides/packages_list?current_repository=frontend-slides → 200 (371ms, ?B)
[2026-04-04T16:53:16.054Z] GET https://github.com/zarazhangrui/frontend-slides/contributors_list?current_repository=frontend-slides&deferred=true → 200 (354ms, 3313B)
[2026-04-04T16:53:16.090Z] GET https://github.githubassets.com/assets/chunk-51591-1317e890ac47146b.js → pending (?ms, ?B)
[2026-04-04T16:53:16.090Z] GET https://github.githubassets.com/assets/chunk-34877-fdaec2d7ab775509.js → pending (?ms, ?B)
[2026-04-04T16:53:16.091Z] GET https://github.githubassets.com/assets/chunk-36423-7610f7b55bc7f34d.js → pending (?ms, ?B)
[2026-04-04T16:53:16.091Z] GET https://github.githubassets.com/assets/62758-90f5c6b8a7745117.js → pending (?ms, ?B)
[2026-04-04T16:53:16.091Z] GET https://github.githubassets.com/assets/chunk-82097-6038f37a0b084c85.js → pending (?ms, ?B)
[2026-04-04T16:53:16.091Z] GET https://github.githubassets.com/assets/2694-eb7c55471169d0e6.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/chunk-23482-b4ecd06fede12e66.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/chunk-57335-95eca4aef7d7626c.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/55077-5c9ca4985817e0f1.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/chunk-78326-75c5610d70c5d5ec.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/chunk-50050-27220c8ab6a21ca6.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/chunk-59342-22b35be0f861385c.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/chunk-54704-99dfdb910e72ad04.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/chunk-69038-ede883175639abbd.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/3612-2ae11a4cd2d8e228.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/36302-266475991428a1b7.js → pending (?ms, ?B)
[2026-04-04T16:53:16.092Z] GET https://github.githubassets.com/assets/38963.f70dfea92b138b01.module.css → pending (?ms, ?B)
[2026-04-04T16:53:16.093Z] GET https://github.githubassets.com/assets/71236-ed1398bff632952c.js → pending (?ms, ?B)
[2026-04-04T16:53:16.093Z] GET https://github.githubassets.com/assets/28174-86d8b64c92c04430.js → pending (?ms, ?B)
[2026-04-04T16:53:16.093Z] GET https://github.githubassets.com/assets/86361-6b377f3dc9565471.js → pending (?ms, ?B)
[2026-04-04T16:53:16.093Z] GET https://github.githubassets.com/assets/70168.374ce4e648336309.module.css → pending (?ms, ?B)
[2026-04-04T16:53:16.223Z] GET https://github.githubassets.com/assets/chunk-81053-ad578dfd0f4b86f1.js → pending (?ms, ?B)
[2026-04-04T16:53:16.233Z] GET https://github.githubassets.com/assets/chunk-46661-ffaf826ae5730065.js → pending (?ms, ?B)
[2026-04-04T16:53:16.365Z] GET https://private-user-images.githubusercontent.com/153693696/557924257-ef57333e-f879-432a-afb9-180388982478.mp4?jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJnaXRodWIuY29tIiwiYXVkIjoicmF3LmdpdGh1YnVzZXJjb250ZW50LmNvbSIsImtleSI6ImtleTUiLCJleHAiOjE3NzUzMjE4OTUsIm5iZiI6MTc3NTMyMTU5NSwicGF0aCI6Ii8xNTM2OTM2OTYvNTU3OTI0MjU3LWVmNTczMzNlLWY4NzktNDMyYS1hZmI5LTE4MDM4ODk4MjQ3OC5tcDQ_WC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBVkNPRFlMU0E1M1BRSzRaQSUyRjIwMjYwNDA0JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDI2MDQwNFQxNjUzMTVaJlgtQW16LUV4cGlyZXM9MzAwJlgtQW16LVNpZ25hdHVyZT1mYzA0M2RlN2NmZTVmODQzYmE4ZWQ5MzFiN2Q5NTMwYTNhOWU5YzI3MTZjOWM5N2ZhNzk2YTRiNzdjOTk1Y2ZkJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCJ9.byIyquza6_pVuhxd6bdjgle2XP-yqFbrMHa9VPULRXU → pending (?ms, ?B)
[2026-04-04T16:53:16.410Z] GET https://avatars.githubusercontent.com/u/81847?s=64&v=4 → pending (?ms, ?B)
[2026-04-04T16:53:16.410Z] GET https://avatars.githubusercontent.com/u/153693696?s=64&v=4 → pending (?ms, ?B)
[2026-04-04T16:53:16.410Z] GET https://avatars.githubusercontent.com/u/10191088?s=64&v=4 → pending (?ms, ?B)
[2026-04-04T16:53:16.410Z] GET https://avatars.githubusercontent.com/u/114926092?s=64&v=4 → pending (?ms, ?B)
[2026-04-04T16:53:16.410Z] GET https://avatars.githubusercontent.com/u/139567284?s=64&v=4 → pending (?ms, ?B)
[2026-04-04T16:53:16.410Z] GET https://avatars.githubusercontent.com/u/156647942?s=64&v=4 → pending (?ms, ?B)
[2026-04-04T16:53:16.683Z] GET https://private-user-images.githubusercontent.com/153693696/557924257-ef57333e-f879-432a-afb9-180388982478.mp4?jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJnaXRodWIuY29tIiwiYXVkIjoicmF3LmdpdGh1YnVzZXJjb250ZW50LmNvbSIsImtleSI6ImtleTUiLCJleHAiOjE3NzUzMjE4OTUsIm5iZiI6MTc3NTMyMTU5NSwicGF0aCI6Ii8xNTM2OTM2OTYvNTU3OTI0MjU3LWVmNTczMzNlLWY4NzktNDMyYS1hZmI5LTE4MDM4ODk4MjQ3OC5tcDQ_WC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBVkNPRFlMU0E1M1BRSzRaQSUyRjIwMjYwNDA0JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDI2MDQwNFQxNjUzMTVaJlgtQW16LUV4cGlyZXM9MzAwJlgtQW16LVNpZ25hdHVyZT1mYzA0M2RlN2NmZTVmODQzYmE4ZWQ5MzFiN2Q5NTMwYTNhOWU5YzI3MTZjOWM5N2ZhNzk2YTRiNzdjOTk1Y2ZkJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCJ9.byIyquza6_pVuhxd6bdjgle2XP-yqFbrMHa9VPULRXU → 206 (546ms, 41689B)
[2026-04-04T16:53:16.932Z] GET https://github.com/zarazhangrui/frontend-slides/latest-commit → 200 (324ms, 1683B)
[2026-04-04T16:53:16.932Z] GET https://github.com/zarazhangrui/frontend-slides/tree-commit-info → 200 (287ms, 14856B)
[2026-04-04T16:53:16.932Z] GET https://github.com/zarazhangrui/frontend-slides/recently-touched-branches → 200 (266ms, 58B)
[2026-04-04T16:53:16.933Z] GET https://github.com/zarazhangrui/frontend-slides/branch-and-tag-count → 200 (275ms, 23B)
[2026-04-04T16:53:16.994Z] GET https://github.com/zarazhangrui/frontend-slides/refs?type=branch → 200 (336ms, 46B)
[2026-04-04T16:53:16.995Z] GET https://github.com/zarazhangrui/frontend-slides/overview-files/main → 200 (313ms, 34379B)
[2026-04-04T16:53:16.995Z] GET https://github.githubassets.com/assets/39007.fa471facf86f7401.module.css → 200 (88ms, 1687B)
[2026-04-04T16:53:16.995Z] GET https://github.githubassets.com/assets/chunk-39007-4109765d7ab6619c.js → 200 (308ms, 3741B)
[2026-04-04T16:53:17.029Z] GET https://github.githubassets.com/assets/chunk-85825-b95e00c532a6f285.js → 200 (374ms, ?B)
[2026-04-04T16:53:17.032Z] GET https://github.githubassets.com/assets/appearance-settings.6f14ff9973550c9e.module.css → 200 (74ms, 5899B)
[2026-04-04T16:53:17.083Z] GET https://github.githubassets.com/assets/53160-2302d0b8388192b0.js → pending (?ms, ?B)
[2026-04-04T16:53:17.083Z] GET https://github.githubassets.com/assets/37160-72dc5a515abc7d3b.js → pending (?ms, ?B)
[2026-04-04T16:53:17.083Z] GET https://github.githubassets.com/assets/71849.38231ebf5311d902.module.css → 200 (45ms, 5885B)
[2026-04-04T16:53:17.157Z] GET https://github.githubassets.com/assets/61975.bf2bb705802183ac.module.css → 200 (72ms, 1372B)
[2026-04-04T16:53:17.157Z] GET https://github.githubassets.com/assets/chunk-61975-77ccc5aab483e9dd.js → pending (?ms, ?B)
[2026-04-04T16:53:17.281Z] GET https://avatars.githubusercontent.com/u/153693696?v=4&size=40 → 200 (122ms, ?B)
[2026-04-04T16:53:17.281Z] GET https://avatars.githubusercontent.com/u/81847?v=4&size=40 → 200 (122ms, ?B)
[2026-04-04T16:53:17.314Z] GET https://private-user-images.githubusercontent.com/153693696/557924257-ef57333e-f879-432a-afb9-180388982478.mp4?jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJnaXRodWIuY29tIiwiYXVkIjoicmF3LmdpdGh1YnVzZXJjb250ZW50LmNvbSIsImtleSI6ImtleTUiLCJleHAiOjE3NzUzMjE4OTcsIm5iZiI6MTc3NTMyMTU5NywicGF0aCI6Ii8xNTM2OTM2OTYvNTU3OTI0MjU3LWVmNTczMzNlLWY4NzktNDMyYS1hZmI5LTE4MDM4ODk4MjQ3OC5tcDQ_WC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBVkNPRFlMU0E1M1BRSzRaQSUyRjIwMjYwNDA0JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDI2MDQwNFQxNjUzMTdaJlgtQW16LUV4cGlyZXM9MzAwJlgtQW16LVNpZ25hdHVyZT02NzczMWM3YjBkOGZmNTQxNzY3NTYwOWQyN2Q2NzY2ZGU0NTJkYTg2ZGMyYWRlODFkOWZiMDNiYTI1ZWJkOTAyJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCJ9.xM4JxbBv3nAfd9H_rXehsjPJ_gkhCo-xcFIG04XQYAM → pending (?ms, ?B)
